Rk,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,RecYds,RecTD,Fum,Lost,FantasyPoints
47,Shane Vereen,RB,10,NYG,NE,4,14,4,0,4,2,12,0,0,0,4.60
48,Matt Asiata,RB,10,MIN,OAK,2,7,4,0,2,2,18,0,0,0,4.50
49,Alfred Blue,RB,10,HOU,CIN,12,22,2,0,1,1,9,0,0,0,4.10
50,Javorius Allen,RB,10,BAL,JAX,5,19,4,0,2,1,4,0,0,0,3.30
1,Thomas Rawls,RB,11,SEA,SF,30,209,7,1,3,3,46,1,0,0,43.50
2,Doug Martin,RB,11,TB,PHI,27,235,9,0,1,0,0,0,0,0,26.50
3,Giovani Bernard,RB,11,CIN,ARI,6,18,3,0,10,8,128,0,0,0,25.60
4,LeSean McCoy,RB,11,BUF,NE,20,82,4,1,10,6,41,0,0,0,24.30
5,Spencer Ware,RB,11,KC,SD,11,96,9,2,1,1,5,0,0,0,23.10
6,Jonathan Stewart,RB,11,CAR,WAS,21,102,5,0,1,1,12,1,0,0,21.40
7,Ahmad Bradshaw,RB,11,IND,ATL,9,32,4,0,4,4,20,2,0,0,21.20
8,Darren McFadden,RB,11,DAL,MIA,29,129,4,0,3,3,20,0,0,0,20.90
9,James White,RB,11,NE,BUF,2,14,7,1,3,2,32,1,0,0,18.60
10,Alfred Blue,RB,11,HOU,NYJ,21,58,3,0,3,3,34,1,0,0,18.20
11,Patrick DiMarco,FB,11,ATL,IND,0,0,0,0,4,3,21,2,0,0,17.10
12,Jeremy Hill,RB,11,CIN,ARI,13,45,4,2,0,0,0,0,0,0,16.50
13,Javorius Allen,RB,11,BAL,LA,22,67,3,0,6,5,48,0,0,0,16.50
14,Charles Sims,RB,11,TB,PHI,10,43,4,0,4,3,26,1,0,0,15.90
15,Shaun Draughn,RB,11,SF,SEA,12,37,3,0,11,8,40,0,1,0,15.70
16,Darren Sproles,RB,11,PHI,TB,6,21,4,0,7,3,38,1,0,0,14.90
17,Eddie Lacy,RB,11,GB,MIN,22,100,5,0,2,1,6,0,0,0,14.60
18,Ronnie Hillman,RB,11,DEN,CHI,21,102,5,0,1,1,2,0,0,0,14.40
19,Bilal Powell,RB,11,NYJ,HOU,4,22,6,0,7,5,67,0,0,0,13.90
20,Theo Riddick,RB,11,DET,OAK,6,14,2,0,6,5,72,0,0,0,13.60
21,Jeremy Langford,RB,11,CHI,DEN,13,25,2,1,6,3,17,0,0,0,13.20
22,Adrian Peterson,RB,11,MIN,GB,13,45,4,1,2,2,16,0,1,1,13.10
23,DeMarco Murray,RB,11,PHI,TB,13,64,5,0,5,4,27,0,1,1,12.10
24,Frank Gore,RB,11,IND,ATL,14,34,2,0,5,5,46,0,1,1,12.00
25,Todd Gurley,RB,11,LA,BAL,25,66,3,1,0,0,0,0,1,1,11.60
26,Antonio Andrews,RB,11,TEN,JAX,15,78,5,0,2,2,16,0,0,0,11.40
27,TJ Yeldon,RB,11,JAX,TEN,14,54,4,0,4,3,28,0,0,0,11.20
28,David Johnson,RB,11,ARI,CIN,2,9,5,0,2,2,17,1,1,0,10.60
29,Jonathan Grimes,RB,11,HOU,NYJ,6,37,6,0,3,3,28,0,0,0,9.50
30,CJ Anderson,RB,11,DEN,CHI,12,59,5,0,2,2,13,0,0,0,9.20
31,Mike Tolbert,FB,11,CAR,WAS,7,5,1,0,2,2,5,1,0,0,9.00
32,Latavius Murray,RB,11,OAK,DET,13,28,2,1,0,0,0,0,0,0,8.80
33,Charcandrick West,RB,11,KC,SD,11,16,2,0,2,2,48,0,0,0,8.40
34,Chris Johnson,RB,11,ARI,CIN,18,63,4,0,2,1,2,0,0,0,7.50
35,Lamar Miller,RB,11,MIA,DAL,7,44,6,0,3,2,11,0,0,0,7.50
36,LeGarrette Blount,RB,11,NE,BUF,16,56,4,0,2,1,5,0,0,0,7.10
37,Melvin Gordon,RB,11,SD,KC,15,37,3,0,1,1,12,0,0,0,5.90
38,Ameer Abdullah,RB,11,DET,OAK,12,44,4,0,2,1,2,0,0,0,5.60
39,Jay Ajayi,RB,11,MIA,DAL,4,13,3,0,2,2,23,0,0,0,5.60
40,Chris Ivory,RB,11,NYJ,HOU,8,36,5,0,1,1,9,0,0,0,5.50
41,James Starks,RB,11,GB,MIN,8,14,2,0,1,1,30,0,0,0,5.40
42,Joique Bell,RB,11,DET,OAK,6,22,4,0,1,1,18,0,0,0,5.00
43,Robert Turbin,RB,11,DAL,MIA,7,35,5,0,2,1,3,0,0,0,4.80
44,Terron Ward,RB,11,ATL,IND,2,2,1,0,4,3,16,0,0,0,4.80
45,Chris Thompson,RB,11,WAS,CAR,4,10,3,0,4,3,7,0,1,0,4.70
46,Devonta Freeman,RB,11,ATL,IND,3,43,14,0,0,0,0,0,0,0,4.30
47,Kyle Juszczyk,FB,11,BAL,LA,2,3,2,0,5,3,10,0,0,0,4.30
48,Fred Jackson,RB,11,SEA,SF,4,11,3,0,2,2,11,0,0,0,4.20
49,Tevin Coleman,RB,11,ATL,IND,17,48,3,0,2,0,0,0,1,1,3.80
50,Dexter McCluster,RB,11,TEN,JAX,2,0,0,0,2,2,18,0,0,0,3.80
1,Adrian Peterson,RB,12,MIN,ATL,29,158,5,2,4,2,29,0,0,0,35.70
2,CJ Anderson,RB,12,DEN,NE,15,113,8,2,4,4,40,0,0,0,34.30
3,Eddie Lacy,RB,12,GB,CHI,17,105,6,0,5,4,34,1,1,1,25.90
4,DeAngelo Williams,RB,12,PIT,SEA,8,29,4,1,7,7,88,0,0,0,24.70
5,Spencer Ware,RB,12,KC,BUF,19,114,6,1,3,3,1,0,0,0,23.50
6,Brandon Bolden,RB,12,NE,DEN,4,11,3,0,4,4,84,1,0,0,19.50
7,Javorius Allen,RB,12,BAL,CLE,12,55,5,0,5,4,29,1,0,0,18.40
8,Chris Ivory,RB,12,NYJ,MIA,21,87,4,1,2,2,15,0,0,0,18.20
9,LeSean McCoy,RB,12,BUF,KC,19,70,4,0,5,3,31,1,1,1,18.10
10,Theo Riddick,RB,12,DET,PHI,2,6,3,0,5,5,62,1,0,0,17.80
11,Joique Bell,RB,12,DET,PHI,7,25,4,1,3,2,57,0,0,0,16.20
12,Mark Ingram,RB,12,NO,HOU,9,52,6,0,8,6,45,0,0,0,15.70
13,Alfred Blue,RB,12,HOU,NO,16,77,5,1,1,1,4,0,0,0,15.10
14,Thomas Rawls,RB,12,SEA,PIT,21,81,4,1,1,0,0,0,0,0,14.10
15,Shaun Draughn,RB,12,SF,ARI,15,51,3,0,5,5,35,0,0,0,13.60
16,Tevin Coleman,RB,12,ATL,MIN,18,110,6,0,2,0,0,0,1,1,13.00
17,Melvin Gordon,RB,12,SD,JAX,14,60,4,0,5,5,20,0,0,0,13.00
18,Ronnie Hillman,RB,12,DEN,NE,14,59,4,1,1,1,0,0,1,0,12.90
19,Jeremy Langford,RB,12,CHI,GB,12,48,4,1,3,1,5,0,0,0,12.30
20,TJ Yeldon,RB,12,JAX,SD,9,36,4,0,5,4,46,0,0,0,12.20
21,James Starks,RB,12,GB,CHI,7,39,6,0,5,4,41,0,0,0,12.00
22,Darren McFadden,RB,12,DAL,CAR,10,11,1,0,6,4,45,0,0,0,11.60
23,Jeremy Hill,RB,12,CIN,LA,16,86,5,0,1,1,14,0,0,0,11.00
24,David Johnson,RB,12,ARI,SF,8,21,3,1,4,2,8,0,0,0,10.90
25,Doug Martin,RB,12,TB,IND,14,97,7,0,3,1,1,0,0,0,10.80
26,Jonathan Stewart,RB,12,CAR,DAL,21,68,3,0,4,3,9,0,0,0,10.70
27,Danny Woodhead,RB,12,SD,JAX,4,8,2,0,6,6,39,0,0,0,10.70
28,Tre Mason,RB,12,LA,CIN,1,-2,-2,0,7,7,37,0,0,0,10.50
29,Alfred Morris,RB,12,WAS,NYG,23,78,3,0,1,1,12,0,0,0,10.00
30,Duke Johnson,RB,12,CLE,BAL,7,27,4,0,6,5,23,0,0,0,10.00
31,Jay Ajayi,RB,12,MIA,NYJ,3,6,2,0,6,4,52,0,0,0,9.80
32,Latavius Murray,RB,12,OAK,TEN,22,59,3,0,3,1,23,0,0,0,9.20
33,Giovani Bernard,RB,12,CIN,LA,10,16,2,0,3,2,51,0,1,0,8.70
34,Ameer Abdullah,RB,12,DET,PHI,16,63,4,0,2,1,12,0,0,0,8.50
35,Andre Ellington,RB,12,ARI,SF,5,24,5,0,5,3,22,0,0,0,7.60
36,Shane Vereen,RB,12,NYG,WAS,2,15,8,0,5,4,21,0,0,0,7.60
37,Matt Jones,RB,12,WAS,NYG,8,19,2,0,1,1,45,0,0,0,7.40
38,Jalston Fowler,RB,12,TEN,OAK,1,1,1,0,1,1,1,1,0,0,7.20
39,Charles Sims,RB,12,TB,IND,4,8,2,0,3,3,31,0,0,0,6.90
40,Darren Sproles,RB,12,PHI,DET,2,4,2,0,6,4,21,0,0,0,6.50
41,Matt Forte,RB,12,CHI,GB,15,44,3,0,1,1,9,0,0,0,6.30
42,Frank Gore,RB,12,IND,TB,19,24,1,0,3,2,13,0,0,0,5.70
43,Antonio Andrews,RB,12,TEN,OAK,11,32,3,0,2,1,14,0,0,0,5.60
44,Ahmad Bradshaw,RB,12,IND,TB,4,6,2,0,4,3,20,0,0,0,5.60
45,Bilal Powell,RB,12,NYJ,MIA,6,28,5,0,5,2,7,0,0,0,5.50
46,Matt Asiata,RB,12,MIN,ATL,1,3,3,0,3,3,17,0,0,0,5.00
47,Rashad Jennings,RB,12,NYG,WAS,6,14,2,0,3,2,14,0,0,0,4.80
48,Jonathan Grimes,RB,12,HOU,NO,7,25,4,0,1,1,8,0,0,0,4.30
49,Lamar Miller,RB,12,MIA,NYJ,5,2,0,0,4,3,11,0,0,0,4.30
50,Denard Robinson,RB,12,JAX,SD,3,23,8,0,1,1,9,0,0,0,4.20
1,Javorius Allen,RB,13,BAL,MIA,17,63,4,0,13,12,107,1,0,0,38.00
2,James White,RB,13,NE,PHI,2,4,2,0,13,10,115,1,0,0,30.90
3,Bilal Powell,RB,13,NYJ,NYG,6,17,3,0,13,8,91,1,0,0,24.80
4,TJ Yeldon,RB,13,JAX,TEN,15,57,4,1,4,4,79,0,0,0,23.60
5,DeAngelo Williams,RB,13,PIT,IND,26,134,5,0,6,5,31,0,2,1,23.50
6,Matt Forte,RB,13,CHI,SF,21,84,4,1,5,5,39,0,0,0,23.30
7,Thomas Rawls,RB,13,SEA,MIN,19,101,5,1,3,3,22,0,1,1,23.30
8,Devonta Freeman,RB,13,ATL,TB,14,47,3,0,11,10,56,0,0,0,20.30
9,David Johnson,RB,13,ARI,LA,22,99,5,0,3,2,21,1,1,0,20.00
10,Darren Sproles,RB,13,PHI,NE,15,66,4,0,6,4,34,0,0,0,20.00
11,Mark Ingram,RB,13,NO,CAR,12,56,5,1,6,4,23,0,1,0,19.90
12,Latavius Murray,RB,13,OAK,KC,20,86,4,1,6,4,11,0,2,0,19.70
13,Shaun Draughn,RB,13,SF,CHI,13,36,3,1,6,5,50,0,0,0,19.60
14,Jonathan Stewart,RB,13,CAR,NO,21,82,4,1,3,3,31,0,1,1,19.30
15,Frank Gore,RB,13,IND,PIT,13,45,4,0,5,3,49,1,0,0,18.40
16,Doug Martin,RB,13,TB,ATL,25,95,4,1,2,1,5,0,1,1,16.00
17,Jeremy Hill,RB,13,CIN,CLE,22,98,5,1,1,0,0,0,0,0,15.80
18,Lamar Miller,RB,13,MIA,BAL,20,113,6,0,2,1,5,0,1,1,14.80
19,Chris Polk,RB,13,HOU,BUF,12,61,5,0,1,1,11,1,0,0,14.20
20,LeSean McCoy,RB,13,BUF,HOU,21,112,5,0,1,0,0,0,0,0,14.20
21,Antonio Andrews,RB,13,TEN,JAX,13,58,5,1,1,1,10,0,0,0,13.80
22,Mike Tolbert,FB,13,CAR,NO,2,33,17,0,3,2,18,1,0,0,13.10
23,Kerwynn Williams,RB,13,ARI,LA,6,59,10,1,0,0,0,0,0,0,11.90
24,James Starks,RB,13,GB,DET,9,15,2,0,7,5,45,0,2,0,11.00
25,Darren McFadden,RB,13,DAL,WAS,14,53,4,1,1,1,6,0,2,2,10.90
26,Chris Ivory,RB,13,NYJ,NYG,10,47,5,0,5,5,22,0,1,1,10.90
27,Spencer Ware,RB,13,KC,OAK,7,26,4,1,2,2,-1,0,0,0,10.50
28,Fred Jackson,RB,13,SEA,MIN,1,5,5,0,2,2,13,1,0,0,9.80
29,Charles Sims,RB,13,TB,ATL,7,56,8,0,3,2,21,0,0,0,9.70
30,Jeremy Langford,RB,13,CHI,SF,12,59,5,0,3,2,9,0,0,0,8.80
31,Jonathan Grimes,RB,13,HOU,BUF,5,28,6,0,2,2,15,0,0,0,8.30
32,Theo Riddick,RB,13,DET,GB,1,4,4,0,6,5,27,0,0,0,8.10
33,Ka'Deem Carey,RB,13,CHI,SF,5,17,3,1,0,0,0,0,0,0,7.70
34,Isaiah Crowell,RB,13,CLE,CIN,11,62,6,0,1,1,2,0,0,0,7.40
35,Duke Johnson,RB,13,CLE,CIN,5,2,0,0,4,4,30,0,0,0,7.20
36,Ameer Abdullah,RB,13,DET,GB,13,67,5,0,1,0,0,0,0,0,6.70
37,Donald Brown,RB,13,SD,DEN,7,26,4,0,1,1,31,0,1,0,6.70
38,CJ Anderson,RB,13,DEN,SD,7,42,6,0,1,1,12,0,0,0,6.40
39,Matt Jones,RB,13,WAS,DAL,18,49,3,0,1,1,5,0,0,0,6.40
40,Charcandrick West,RB,13,KC,OAK,9,35,4,0,3,2,9,0,0,0,6.40
41,Danny Woodhead,RB,13,SD,DEN,3,10,3,0,7,3,24,0,0,0,6.40
42,Chris Thompson,RB,13,WAS,DAL,1,6,6,0,4,4,18,0,0,0,6.40
43,Adrian Peterson,RB,13,MIN,SEA,8,18,2,0,4,4,6,0,0,0,6.40
44,Melvin Gordon,RB,13,SD,DEN,12,55,5,0,1,1,8,0,2,1,6.30
45,Ronnie Hillman,RB,13,DEN,SD,19,56,3,0,1,0,0,0,0,0,5.60
46,Mike Gillislee,RB,13,BUF,HOU,7,41,6,0,1,1,5,0,0,0,5.60
47,Kenjon Barner,RB,13,PHI,NE,9,39,4,0,2,2,7,0,1,1,5.60
48,LeGarrette Blount,RB,13,NE,PHI,13,54,4,0,0,0,0,0,0,0,5.40
49,Dan Herron,RB,13,IND,PIT,2,8,4,0,3,3,16,0,0,0,5.40
50,Jerick McKinnon,RB,13,MIN,SEA,4,18,5,0,6,3,6,0,0,0,5.40
1,Isaiah Crowell,RB,14,CLE,SF,20,145,7,2,1,1,9,0,0,0,31.40
2,Todd Gurley,RB,14,LA,DET,16,140,9,2,2,1,7,0,0,0,30.70
3,James Starks,RB,14,GB,DAL,11,71,7,1,4,4,32,1,0,0,26.30
4,Eddie Lacy,RB,14,GB,DAL,24,124,5,1,1,1,24,0,0,0,24.80
5,DeAngelo Williams,RB,14,PIT,CIN,23,76,3,2,2,2,15,0,0,0,23.10
6,Lamar Miller,RB,14,MIA,NYG,12,89,7,2,0,0,0,0,0,0,20.90
7,Bilal Powell,RB,14,NYJ,TEN,3,36,12,0,5,5,46,1,0,0,19.20
8,David Johnson,RB,14,ARI,MIN,19,92,5,0,7,5,31,0,0,0,17.30
9,Tim Hightower,RB,14,NO,TB,28,85,3,1,1,1,10,0,0,0,16.50
10,Jonathan Stewart,RB,14,CAR,ATL,10,75,8,1,1,1,14,0,0,0,15.90
11,Denard Robinson,RB,14,JAX,IND,14,75,5,1,2,1,12,0,0,0,15.70
12,Doug Martin,RB,14,TB,NO,11,81,7,1,3,1,5,0,0,0,15.60
13,LeSean McCoy,RB,14,BUF,PHI,20,74,4,0,7,4,35,0,0,0,14.90
14,Chris Ivory,RB,14,NYJ,TEN,22,101,5,0,2,1,6,0,0,0,14.70
15,Adrian Peterson,RB,14,MIN,ARI,23,69,3,1,1,1,17,0,1,1,14.60
16,Darren McFadden,RB,14,DAL,GB,9,111,12,0,2,0,0,0,0,0,14.10
17,James White,RB,14,NE,HOU,1,2,2,1,6,4,38,0,0,0,14.00
18,Charles Sims,RB,14,TB,NO,5,10,2,0,8,6,64,0,0,0,13.40
19,Theo Riddick,RB,14,DET,LA,3,18,6,0,11,7,44,0,0,0,13.20
20,Ronnie Hillman,RB,14,DEN,OAK,12,20,2,0,9,7,41,0,1,0,13.10
21,Darren Sproles,RB,14,PHI,BUF,7,41,6,1,3,2,4,0,0,0,12.50
22,Matt Forte,RB,14,CHI,WAS,10,45,5,1,2,1,8,0,0,0,12.30
23,Rashad Jennings,RB,14,NYG,MIA,22,81,4,0,2,2,21,0,0,0,12.20
24,Robert Turbin,RB,14,DAL,GB,7,51,7,1,0,0,0,0,0,0,11.10
25,Dexter McCluster,RB,14,TEN,NYJ,4,12,3,0,5,4,38,0,0,0,11.00
26,Matt Jones,RB,14,WAS,CHI,18,62,3,0,3,2,24,0,1,0,10.60
27,Melvin Gordon,RB,14,SD,KC,14,35,3,0,4,4,28,0,0,0,10.30
28,Mike Gillislee,RB,14,BUF,PHI,3,24,8,1,1,1,6,0,0,0,10.00
29,Fozzy Whittaker,RB,14,CAR,ATL,8,34,4,1,1,1,-6,0,0,0,9.80
30,Javorius Allen,RB,14,BAL,SEA,8,14,2,0,9,5,44,0,1,1,9.80
31,Giovani Bernard,RB,14,CIN,PIT,6,40,7,0,5,3,27,0,0,0,9.70
32,Zurlon Tipton,RB,14,IND,JAX,1,7,7,0,5,4,50,0,0,0,9.70
33,Joique Bell,RB,14,DET,LA,7,50,7,0,2,2,25,0,0,0,9.50
34,Duke Johnson,RB,14,CLE,SF,13,78,6,0,3,1,6,0,0,0,9.40
35,Jeremy Langford,RB,14,CHI,WAS,11,37,3,0,7,3,27,0,0,0,9.40
36,Alfred Morris,RB,14,WAS,CHI,11,24,2,1,1,0,0,0,0,0,8.40
37,Jonathan Grimes,RB,14,HOU,NE,7,53,8,0,2,2,9,0,0,0,8.20
38,Devonta Freeman,RB,14,ATL,CAR,12,40,3,0,5,3,22,0,1,1,8.20
39,Antonio Andrews,RB,14,TEN,NYJ,4,8,2,0,2,1,6,0,0,0,8.04
40,Rex Burkhead,RB,14,CIN,PIT,0,0,0,0,1,1,5,1,0,0,7.50
41,TJ Yeldon,RB,14,JAX,IND,11,62,6,0,1,1,1,0,0,0,7.30
42,Shaun Draughn,RB,14,SF,CLE,11,43,4,0,3,2,8,0,0,0,7.10
43,Frank Gore,RB,14,IND,JAX,16,60,4,0,5,1,-1,0,0,0,6.90
44,Juwan Thompson,RB,14,DEN,OAK,5,8,2,0,6,4,21,0,0,0,6.90
45,Chris Polk,RB,14,HOU,NE,11,34,3,0,2,2,14,0,0,0,6.80
46,Ameer Abdullah,RB,14,DET,LA,7,23,3,0,2,2,21,0,0,0,6.40
47,Ryan Mathews,RB,14,PHI,BUF,13,38,3,0,2,2,4,0,0,0,6.20
48,DeMarco Murray,RB,14,PHI,BUF,11,34,3,0,2,2,3,0,0,0,5.70
49,Charcandrick West,RB,14,KC,SD,10,54,5,0,1,0,0,0,0,0,5.40
50,Travaris Cadet,RB,14,SF,CLE,2,6,3,0,2,2,28,0,0,0,5.40
1,David Johnson,RB,15,ARI,PHI,29,187,6,3,4,4,42,0,0,0,47.90
2,Danny Woodhead,RB,15,SD,MIA,8,10,1,1,6,6,50,3,0,0,36.00
3,Devonta Freeman,RB,15,ATL,JAX,25,56,2,1,10,7,45,0,0,0,23.10
4,Matt Forte,RB,15,CHI,MIN,8,47,6,0,7,6,57,1,0,0,22.40
5,Shane Vereen,RB,15,NYG,CAR,4,29,7,0,10,8,43,1,0,0,21.20
6,Bilal Powell,RB,15,NYJ,DAL,6,25,4,1,7,7,54,0,0,0,20.90
7,James White,RB,15,NE,TEN,1,6,6,0,8,7,71,1,0,0,20.70
8,Rashad Jennings,RB,15,NYG,CAR,16,107,7,1,3,1,0,0,1,1,19.70
9,Jerick McKinnon,RB,15,MIN,CHI,7,10,1,0,4,4,76,1,0,0,18.60
10,Joique Bell,RB,15,DET,NO,8,71,9,1,3,2,30,0,1,0,18.10
11,Denard Robinson,RB,15,JAX,ATL,14,41,3,0,10,8,46,0,2,0,16.70
12,DeAngelo Williams,RB,15,PIT,DEN,14,26,2,1,6,5,30,0,0,0,16.60
13,Charcandrick West,RB,15,KC,BAL,16,76,5,1,2,2,9,0,0,0,16.50
14,Mike Gillislee,RB,15,BUF,WAS,4,81,20,1,2,2,2,0,0,0,16.30
15,Darren McFadden,RB,15,DAL,NYJ,16,100,6,0,3,2,13,0,0,0,16.30
16,Todd Gurley,RB,15,LA,TB,21,48,2,1,2,2,31,0,0,0,15.90
17,Ameer Abdullah,RB,15,DET,NO,9,77,9,1,2,2,12,0,1,1,15.90
18,Jeremy Hill,RB,15,CIN,SF,19,31,2,2,1,0,0,0,1,1,14.10
19,Kyle Juszczyk,FB,15,BAL,KC,0,0,0,0,6,5,26,1,0,0,13.60
20,Duke Johnson,RB,15,CLE,SEA,4,46,12,0,5,5,39,0,1,0,13.50
21,Alfred Blue,RB,15,HOU,IND,20,107,5,0,0,0,0,0,1,1,12.70
22,Donald Brown,RB,15,SD,MIA,12,90,8,0,3,2,14,0,0,0,12.40
23,Antonio Andrews,RB,15,TEN,NE,14,45,3,0,6,5,25,0,0,0,12.00
24,Tim Hightower,RB,15,NO,DET,13,54,4,0,4,3,31,0,0,0,11.50
25,Cameron Artis-Payne,RB,15,CAR,NYG,14,59,4,0,2,2,34,0,0,0,11.30
26,Jay Ajayi,RB,15,MIA,SD,6,27,5,1,3,1,15,0,0,0,11.20
27,Kendall Gaskins,FB,15,SF,CIN,2,0,0,0,7,6,52,0,0,0,11.20
28,Doug Martin,RB,15,TB,LA,18,91,5,0,2,1,6,0,0,0,10.70
29,Charles Sims,RB,15,TB,LA,7,50,7,0,3,3,22,0,0,0,10.20
30,Giovani Bernard,RB,15,CIN,SF,14,33,2,0,4,4,18,0,0,0,9.10
31,Latavius Murray,RB,15,OAK,GB,21,78,4,0,2,1,2,0,0,0,9.00
32,Michael Burton,FB,15,DET,NO,0,0,0,0,2,2,10,1,0,0,9.00
33,Alfred Morris,RB,15,WAS,BUF,14,84,6,0,0,0,0,0,0,0,8.40
34,Christine Michael,RB,15,SEA,CLE,16,84,5,0,0,0,0,0,0,0,8.40
35,Bruce Miller,FB,15,SF,CIN,2,3,2,1,1,1,10,0,0,0,8.30
36,Zach Line,FB,15,MIN,CHI,1,3,3,0,2,1,4,1,0,0,7.70
37,Travaris Cadet,RB,15,SF,CIN,2,4,2,0,6,4,32,0,0,0,7.60
38,Brandon Bolden,RB,15,NE,TEN,10,36,4,0,3,2,18,0,0,0,7.40
39,John Kuhn,FB,15,GB,OAK,3,12,4,1,1,0,0,0,0,0,7.20
40,Frank Gore,RB,15,IND,HOU,16,44,3,0,2,1,15,0,0,0,6.90
41,Jeremy Langford,RB,15,CHI,MIN,11,46,4,0,3,1,11,0,0,0,6.70
42,Marcel Reece,FB,15,OAK,GB,0,0,0,0,3,3,37,0,0,0,6.70
43,Terrance West,RB,15,BAL,KC,7,35,5,0,2,2,11,0,0,0,6.60
44,Adrian Peterson,RB,15,MIN,CHI,18,63,4,0,0,0,0,0,0,0,6.30
45,Ryan Mathews,RB,15,PHI,ARI,11,58,5,0,2,1,3,0,1,1,6.10
46,Isaiah Crowell,RB,15,CLE,SEA,9,23,3,0,3,3,7,0,0,0,6.00
47,Melvin Gordon,RB,15,SD,MIA,15,41,3,0,1,1,6,0,0,0,5.70
48,Kerwynn Williams,RB,15,ARI,PHI,6,34,6,0,1,1,12,0,0,0,5.60
49,James Starks,RB,15,GB,OAK,9,51,6,0,1,1,5,0,1,1,5.60
50,Darren Sproles,RB,15,PHI,ARI,6,9,2,0,4,3,16,0,0,0,5.50
1,DeAngelo Williams,RB,16,PIT,BAL,17,100,6,2,6,6,53,0,1,1,35.30
2,Tim Hightower,RB,16,NO,JAX,27,122,5,2,3,3,47,0,0,0,34.90
3,Jerick McKinnon,RB,16,MIN,NYG,7,89,13,2,3,2,8,0,0,0,23.70
4,Frank Gore,RB,16,IND,MIA,15,85,6,2,4,2,10,0,0,0,23.50
5,Latavius Murray,RB,16,OAK,SD,19,79,4,1,5,5,38,0,0,0,22.70
6,Javorius Allen,RB,16,BAL,PIT,17,77,5,1,5,5,35,0,0,0,22.20
7,Adrian Peterson,RB,16,MIN,NYG,22,104,5,1,2,1,15,0,0,0,21.90
8,David Johnson,RB,16,ARI,GB,9,39,4,1,6,3,88,0,0,0,21.70
9,Charles Sims,RB,16,TB,CHI,4,45,11,0,5,3,72,1,0,0,20.70
10,Mike Gillislee,RB,16,BUF,DAL,9,93,10,1,2,2,16,0,0,0,18.90
11,Danny Woodhead,RB,16,SD,OAK,11,55,5,0,10,8,53,0,0,0,18.80
12,Devonta Freeman,RB,16,ATL,CAR,22,73,3,1,5,3,17,0,0,0,18.00
13,Lamar Miller,RB,16,MIA,IND,15,31,2,1,6,5,36,0,0,0,17.70
14,Karlos Williams,RB,16,BUF,DAL,17,76,5,1,2,2,21,0,1,1,16.70
15,Travaris Cadet,RB,16,NO,JAX,1,6,6,0,5,3,69,1,0,0,16.50
16,Todd Gurley,RB,16,LA,SEA,19,83,4,1,1,1,7,0,1,0,16.00
17,Pierre Thomas,RB,16,WAS,PHI,4,22,6,0,8,7,67,0,0,0,15.90
18,Eddie Lacy,RB,16,GB,ARI,12,60,5,0,2,1,28,1,0,0,15.80
19,Rashad Jennings,RB,16,NYG,MIN,14,74,5,0,3,2,62,0,0,0,15.60
20,Theo Riddick,RB,16,DET,SF,7,20,3,0,8,7,63,0,0,0,15.30
21,Isaiah Crowell,RB,16,CLE,KC,16,88,6,1,0,0,0,0,0,0,14.80
22,Ka'Deem Carey,RB,16,CHI,TB,7,16,2,1,1,1,1,1,0,0,14.70
23,James White,RB,16,NE,NYJ,2,4,2,0,5,5,28,1,0,0,14.20
24,CJ Anderson,RB,16,DEN,CIN,9,73,8,1,2,1,8,0,1,1,14.10
25,DeMarco Murray,RB,16,PHI,WAS,5,27,5,1,4,3,24,0,0,0,14.10
26,Donald Brown,RB,16,SD,OAK,14,17,1,1,4,3,33,0,0,0,14.00
27,Bilal Powell,RB,16,NYJ,NE,7,56,8,0,7,5,34,0,1,0,14.00
28,Darren Sproles,RB,16,PHI,WAS,5,9,2,0,9,7,56,0,1,0,13.50
29,Denard Robinson,RB,16,JAX,NO,6,20,3,0,7,5,50,0,0,0,12.00
30,Ronnie Hillman,RB,16,DEN,CIN,9,35,4,0,4,4,37,0,0,0,11.20
31,Brandon Bolden,RB,16,NE,NYJ,9,30,3,0,7,5,30,0,0,0,11.00
32,Darren McFadden,RB,16,DAL,BUF,19,99,5,0,1,1,-1,0,0,0,10.80
33,Matt Forte,RB,16,CHI,TB,11,54,5,0,4,3,23,0,0,0,10.70
34,Doug Martin,RB,16,TB,CHI,17,49,3,1,3,1,6,0,2,2,10.50
35,Kyle Juszczyk,FB,16,BAL,PIT,0,0,0,0,7,5,55,0,0,0,10.50
36,Fred Jackson,RB,16,SEA,LA,2,11,6,0,8,5,43,0,0,0,10.40
37,Joique Bell,RB,16,DET,SF,7,13,2,1,3,2,9,0,0,0,10.20
38,Ryan Mathews,RB,16,PHI,WAS,4,5,1,1,3,2,13,0,0,0,9.80
39,Jarryd Hayne,RB,16,SF,DET,9,27,3,0,6,5,20,0,0,0,9.70
40,DuJuan Harris,RB,16,SF,DET,11,73,7,0,2,1,11,0,0,0,9.40
41,Ameer Abdullah,RB,16,DET,SF,8,39,5,0,4,4,9,0,0,0,8.80
42,Bishop Sankey,RB,16,TEN,HOU,2,11,6,0,4,3,43,0,0,0,8.40
43,Jeremy Langford,RB,16,CHI,TB,19,83,4,0,2,0,0,0,0,0,8.30
